stage_idx,temperature,runtime_sec,attempted_moves,accepted_moves,accepted_uphill_moves,best_hpwl_so_far,current_hpwl,cost_mode
0,300.00000000,0.00068154,105,99,50,312,408,delta
1,285.00000000,0.00131338,102,96,51,288,395,delta
2,270.75000000,0.00195213,102,100,56,280,380,delta
3,257.21250000,0.00266104,103,98,44,280,366,delta
4,244.35187500,0.00376629,106,98,48,280,359,delta
5,232.13428125,0.00485533,104,97,45,280,367,delta
6,220.52756719,0.00612796,105,95,43,244,348,delta
7,209.50118883,0.00758871,103,96,50,244,438,delta
8,199.02612939,0.00921521,102,95,44,244,409,delta
9,189.07482292,0.01103229,101,96,43,244,393,delta
10,179.62108177,0.01291396,103,99,52,244,450,delta
11,170.64002768,0.01504804,106,99,39,244,311,delta
12,162.10802630,0.01741304,105,98,42,244,372,delta
13,154.00262498,0.01997592,102,96,42,244,379,delta
14,146.30249373,0.02269817,102,99,49,244,356,delta
15,138.98736905,0.02621492,103,91,49,244,406,delta
16,132.03800060,0.02908071,103,93,44,244,347,delta
